,Unnamed: 0,Article_ID,Instance_ID,Keyword,Statistics,Statistics Type,Association,Is Child,Is Human,Group Size,Nationality,Side_new,Full_Sent,Conflict_Year,Date,Source
82,82,ID_Past Conflicts_AJE_40,Cold Statistics_Prompt_Instance_ID_142,"more than 20,000 people have gone without food","more than 20,000",Number about Victims deprived of food,Gaza residents,No,Yes,Many,Palestinian,Palestine,"more than 20,000 people have gone without food since the beginning of the Israeli assault, with many more resorting to begging or picking through rubbish dumps.",2008,01 January 2009,AJE
83,83,ID_Past Conflicts_AJE_40,Cold Statistics_Prompt_Instance_ID_143,"At least 393 Palestinians, including dozens of civilians, have been killed",At least 393,Statistics about Deaths,Palestinians (including civilians),No,Yes,Many,Palestinian,Palestine,"At least 393 Palestinians, including dozens of civilians, have been killed and about 1,600 injured as Israeli warplanes and helicopter gunships have dropped hundreds of bombs and missiles on the densely-populated strip.",2008,01 January 2009,AJE
84,84,ID_Past Conflicts_AJE_40,Cold Statistics_Prompt_Instance_ID_144,"about 1,600 injured","about 1,600",Number about Injured,Palestinians (including civilians),No,Yes,Many,Palestinian,Palestine,"At least 393 Palestinians, including dozens of civilians, have been killed and about 1,600 injured as Israeli warplanes and helicopter gunships have dropped hundreds of bombs and missiles on the densely-populated strip.",2008,01 January 2009,AJE
85,85,ID_Past Conflicts_AJE_41,Cold Statistics_Prompt_Instance_ID_145,more than 380 people there dead,more than 380,Number about Deaths,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,"Israel's unrelenting military assault on the Palestinian territory, which has left more than 380 people there dead.",2008,01 January 2009,AJE
86,86,ID_Past Conflicts_AJE_43,Cold Statistics_Prompt_Instance_ID_151,at least 400 Palestinians have been killed,at least 400,Number about Deaths,Palestinian civilians killed in Gaza Strip,No,Yes,Many,Palestinian,Palestine,Over the past six days at least 400 Palestinians have been killed in aerial bombadment of the narrow and densely populated Gaza Strip.,2008,01 January 2009,AJE
87,87,ID_Past Conflicts_AJE_43,Cold Statistics_Prompt_Instance_ID_152,"Two thousand people, many of them civilians, have been wounded",Two thousand,Number about Injured,People (many civilians) wounded in Gaza Strip,No,Yes,Many,Palestinian,Palestine,"Two thousand people, many of them civilians, have been wounded.",2008,01 January 2009,AJE
88,88,ID_Past Conflicts_AJE_43,Cold Statistics_Prompt_Instance_ID_153,Four Israelis have been killed,Four,Number about Deaths,Israelis killed by home-made rockets,No,Yes,Many,Israeli,Israel,Four Israelis have been killed by home-made rockets fired by the Palestinian factions since the Israeli operation started.,2008,01 January 2009,AJE
89,89,ID_Past Conflicts_AJE_45,Cold Statistics_Prompt_Instance_ID_156,more than 428 dead,more than 428,Statistics about Deaths (Civilians),Gaza residents (Palestinians),No,Yes,Many,Palestinian,Palestine,"With the Israeli offensive on Gaza in its seventh day, the death toll now stands at more than 428 dead and 2,100 injured.",2008,02 January 2009,AJE
90,90,ID_Past Conflicts_AJE_45,Cold Statistics_Prompt_Instance_ID_157,"2,100 injured","2,100",Number about Injured (Civilians),Gaza residents (Palestinians),No,Yes,Many,Palestinian,Palestine,"With the Israeli offensive on Gaza in its seventh day, the death toll now stands at more than 428 dead and 2,100 injured.",2008,02 January 2009,AJE
91,91,ID_Past Conflicts_AJE_45,Cold Statistics_Prompt_Instance_ID_158,more than a dozen people killed,more than a dozen,Statistics about Deaths (Civilians),People in Jabaliya refugee camp (Palestinians),No,Yes,Many,Palestinian,Palestine,"In raids on Jabaliya, a senior Hamas official was among more than a dozen people killed when a single one-tonne bomb dropped from an Israeli jet destroyed his home.",2008,02 January 2009,AJE
92,92,ID_Past Conflicts_AJE_45,Cold Statistics_Prompt_Instance_ID_159,"13 members of Rayyan's family, including his four wives and 10 children, were killed",13,"Statistics about Deaths (Civilians, including Children)",Rayyan's family (Palestinians),Yes,Yes,Many,Palestinian,Palestine,"Palestinian medics said 13 members of Rayyan's family, including his four wives and 10 children, were killed in the attack.",2008,02 January 2009,AJE
93,93,ID_Past Conflicts_AJE_45,Cold Statistics_Prompt_Instance_ID_160,10 children,10,Statistics about Deaths (Children),Children in Rayyan's family (Palestinians),Yes,Yes,Many,Palestinian,Palestine,"Palestinian medics said 13 members of Rayyan's family, including his four wives and 10 children, were killed in the attack.",2008,02 January 2009,AJE
94,94,ID_Past Conflicts_AJE_45,Cold Statistics_Prompt_Instance_ID_161,"70,000 Palestinians","70,000",Number about Victims (Population at Risk/Displaced),Residents of Jabaliya camp (Palestinians),No,Yes,Many,Palestinian,Palestine,"As we have seen in this particular strike, it was a direct hit in the heart of the Jabaliya camp, the most densely populated in Gaza, home to 70,000 Palestinians.",2008,02 January 2009,AJE
95,95,ID_Past Conflicts_AJE_45,Cold Statistics_Prompt_Instance_ID_162,1.5 million people,1.5 million,Number about Victims (Population at Risk/Deprived of Shelter),Gaza residents (Palestinians),No,Yes,Many,Palestinian,Palestine,"Most of the 1.5 million people in the densely-populated enclave have no means of sheltering from the raids, and humanitarian groups say supplies of food and fuel are running dangerously low.",2008,02 January 2009,AJE
96,96,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_163,"13 members of Rayyan's family, including his wife and three children, were killed",13,Number about Deaths,Rayyan's family (including his wife and three children),Yes,Yes,Many,Palestinian,Palestine,"Medics say 13 members of Rayyan's family, including his wife and three children, were killed in the attack on his five-storey home in the Jabaliya refugee camp on Thursday.",2008,02 January 2009,AJE
97,97,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_164,About 30 people were wounded,About 30,Number about Injured,People wounded in the attack on Rayyan's home,No,Yes,Many,Palestinian,Palestine,About 30 people were wounded and surrounding buildings badly damaged.,2008,02 January 2009,AJE
98,98,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_165,"70,000 Palestinians","70,000",Number about Victims (Population in Jabaliya camp),Residents of Jabaliya refugee camp,No,Yes,Many,Palestinian,Palestine,"As we have seen in this particular strike, it was a direct hit in the heart of the Jabaliya camp, the most densely populated in Gaza, home to 70,000 Palestinians.",2008,02 January 2009,AJE
99,99,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_166,At least 420 people have been killed,At least 420,Number about Deaths,People killed since Israel's aerial bombardment started,No,Yes,Many,Palestinian,Palestine,"At least 420 people have been killed and 2,100 injured since Israel's aerial bombardment of the coastal strip started six days ago.",2008,02 January 2009,AJE
100,100,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_167,"2,100 injured","2,100",Number about Injured,People injured since Israel's aerial bombardment started,No,Yes,Many,Palestinian,Palestine,"At least 420 people have been killed and 2,100 injured since Israel's aerial bombardment of the coastal strip started six days ago.",2008,02 January 2009,AJE
101,101,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_168,at least 25 per cent of the dead are civilians,at least 25 per cent,Percentage of Deaths (Civilians),Civilians among the dead,No,Yes,Many,Palestinian,Palestine,The UN has said at least 25 per cent of the dead are civilians.,2008,02 January 2009,AJE
102,102,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_169,1.5 million people living in Gaza,1.5 million,Number about Victims (Population affected by inability to flee),People living in Gaza unable to flee bombardment,No,Yes,Many,Palestinian,Palestine,The 1.5 million people living in Gaza are unable to flee the bombardment as crossing points remain closed for most of the time.,2008,02 January 2009,AJE
103,103,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_170,about 200 Gazans chose to re-enter the strip,about 200,Number about Victims (Displaced/Returning),Gazans re-entering the strip after being stuck in Egypt,No,Yes,Many,Palestinian,Palestine,"However, about 200 Gazans chose to re-enter the strip after being stuck in Egypt when the Rafah crossing was briefly opened on Thursday.",2008,02 January 2009,AJE
104,104,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_171,attacks on government offices left four people dead,four,Number about Deaths,People killed in attacks on government offices,No,Yes,Many,Palestinian,Palestine,Palestinian officials said attacks on government offices left four people dead and at least 25 people injured.,2008,02 January 2009,AJE
105,105,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_172,at least 25 people injured,at least 25,Number about Injured,People injured in attacks on government offices,No,Yes,Many,Palestinian,Palestine,Palestinian officials said attacks on government offices left four people dead and at least 25 people injured.,2008,02 January 2009,AJE
106,106,ID_Past Conflicts_AJE_46,Cold Statistics_Prompt_Instance_ID_175,central hospital in Gaza has been receiving about 250 people per day,about 250 per day,Number about Victims (Hospital Admissions per Day),People admitted to central hospital in Gaza per day,No,Yes,Many,Palestinian,Palestine,Khalaf said the central hospital in Gaza has been receiving about 250 people per day.,2008,02 January 2009,AJE
107,107,ID_Past Conflicts_AJE_47,Cold Statistics_Prompt_Instance_ID_177,more than 400 Palestinians have been killed,more than 400,Number about Deaths,Palestinian civilians killed under Israeli aerial bombardment,No,Yes,Many,Palestinian,Palestine,"Over the past six days more than 400 Palestinians have been killed and 2,000 wounded under an Israeli aerial bombardment.",2008,02 January 2009,AJE
108,108,ID_Past Conflicts_AJE_47,Cold Statistics_Prompt_Instance_ID_178,"2,000 wounded","2,000",Number about Injured,Palestinian civilians wounded under Israeli aerial bombardment,No,Yes,Many,Palestinian,Palestine,"Over the past six days more than 400 Palestinians have been killed and 2,000 wounded under an Israeli aerial bombardment.",2008,02 January 2009,AJE
109,109,ID_Past Conflicts_AJE_47,Cold Statistics_Prompt_Instance_ID_179,1.5 million people,1.5 million,Number about Victims (Population under siege and deprivation),"Population of Gaza Strip suffering shortages of power, food and medical supplies due to blockade",No,Yes,Many,Palestinian,Palestine,"The strip, home to 1.5 million people, is already suffering shortages of power, food and medical supplies due to a two-year blockade imposed by Israel on the area.",2008,02 January 2009,AJE
110,110,ID_Past Conflicts_AJE_48,Cold Statistics_Prompt_Instance_ID_180,464 Palestinians had died,464,Number about Deaths,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"As the offensive entered its eighth day Palestinian medical sources said 464 Palestinians had died and more than 2,000 have been injured.",2008,03 January 2009,AJE
111,111,ID_Past Conflicts_AJE_48,Cold Statistics_Prompt_Instance_ID_181,"more than 2,000 have been injured","more than 2,000",Number about Injured,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"As the offensive entered its eighth day Palestinian medical sources said 464 Palestinians had died and more than 2,000 have been injured.",2008,03 January 2009,AJE
112,112,ID_Past Conflicts_AJE_48,Cold Statistics_Prompt_Instance_ID_182,"killed at least 11 people, including one child",at least 11,Number about Deaths,Palestinian civilians (including at least one child),Yes,Yes,Many,Palestinian,Palestine,"an Israeli strike on a northern Gaza town killed at least 11 people, including one child, who were praying in a mosque.",2008,03 January 2009,AJE
113,113,ID_Past Conflicts_AJE_48,Cold Statistics_Prompt_Instance_ID_183,Four Israelis have also been killed,Four,Number about Deaths,Israeli civilians,No,Yes,Many,Israeli,Israel,Four Israelis have also been killed in rocket fire into southern Israel.,2008,03 January 2009,AJE
114,114,ID_Past Conflicts_AJE_48,Cold Statistics_Prompt_Instance_ID_184,"more than 250,000 people in northern Gaza are without electricity","more than 250,000",Number about Deprived of Electricity,Palestinian civilians in northern Gaza,No,Yes,Many,Palestinian,Palestine,"Al Jazeera's Ayman Mohyeldin said that power lines have been cut throughout the strip and more than 250,000 people in northern Gaza are without electricity.",2008,03 January 2009,AJE
